Sous-dossier,Fichiers_XML,TextLines_totales,Lignes_avec_texte,Lignes_avec_char_special,Pct_special,Densite_moyenne,Densite_min,Densite_max,Poids_min,Poids_max,Poids_moyen
bnf_fr_2180_girart_de_rossilhon,4,133,130,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
bnf_fr_esp_247,2,53,52,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
bodleian_ms_bodl_342,1,44,44,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
bodleian_ms_hatton_20,1,27,27,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
bodleian_ms_tanner_10,1,28,27,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
copon_catalonia_1572,1,28,28,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
italian_chicago_newberry_library_79,1,31,30,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
italian_chicago_newberry_library_95_1,2,48,48,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_dutch_bhsl_hs_4967,1,31,31,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_dutch_fol_751,1,102,100,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_dutch_hs_1618,1,87,86,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_eng_ms_9,1,22,22,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_eng_ms_douce_216,1,35,34,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_eng_ms_gg_4_27,1,85,85,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_eng_ms_laud_622,1,108,103,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_german_cgm_18,1,25,25,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_german_cgm_31,1,67,66,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_german_cgm_34,1,103,100,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
middle_german_cgm_5249,1,31,31,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
montpellier_aa9_petit_thalamus,2,78,72,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
mss_15_lostma,3,165,164,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
mss_21_lostma,5,212,212,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
mss_2_lostma,2,162,162,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
mss_6_lostma,5,461,461,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
mss_9_lostma,3,83,83,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
oldnorse_AM_132_fol,2,162,162,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
oldnorse_AM_242_fol,2,70,67,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
oldnorse_AM_519_a_4to,2,70,70,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
oldnorse_DG_4_6,2,168,168,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
paris_bnf_fr_1592_chansonnier_b,2,119,117,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
paris_bnf_fr_2164_jaufre,2,152,150,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
paris_bnf_lat_12711,1,86,85,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
paris_bnf_lat_5763,1,30,30,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
vec_ms,3,80,80,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
welsh_oxford_jesus_college_ms_111,2,191,188,0,0.0,0.0000,0.0000,0.0000,1.00,1.00,1.00
